year,grp,name,code,team
1970,A02,멕시코,MEX,멕시코
1970,A03,벨기에,BEL,벨기에
1970,A04,엘살바도르,SLV,엘살바도르
1970,B01,이탈리아,ITA,이탈리아
1970,B02,우루과이,URU,우루과이
1970,B03,스웨덴,SWE,스웨덴
1970,B04,이스라엘,ISR,이스라엘
1970,C01,잉글랜드,ENG,잉글랜드
1970,C02,브라질,BRA,브라질
1970,C03,체코,CZE,체코슬로바키아
1970,C04,루마니아,ROU,루마니아
1970,D01,서독,GER,서독
1970,D02,페루,PER,페루
1970,D03,불가리아,BUL,불가리아
1970,D04,모로코,MAR,모로코
1974,A01,서독,GER,서독
1974,A02,동독,,동독
1974,A03,칠레,CHI,칠레
1974,A04,호주,AUS,오스트레일리아
1974,B01,스코틀랜드,SCO,스코틀랜드
1974,B02,유고,SRB,유고슬라비아
1974,B03,브라질,BRA,브라질
1974,B04,자이르,COD,자이르
1974,C01,네덜란드,NED,네덜란드
1974,C02,불가리아,BUL,불가리아
1974,C03,우루과이,URU,우루과이
1974,C04,스웨덴,SWE,스웨덴
1974,D01,이탈리아,ITA,이탈리아
1974,D02,폴란드,POL,폴란드
1974,D03,아르헨티나,ARG,아르헨티나
1974,D04,아이티,HAI,아이티
1978,A01,아르헨티나,ARG,아르헨티나
1978,A02,이탈리아,ITA,이탈리아
1978,A03,헝가리,HUN,헝가리
1978,A04,프랑스,FRA,프랑스
1978,B01,서독,GER,서독
1978,B02,멕시코,MEX,멕시코
1978,B03,폴란드,POL,폴란드
1978,B04,튀니지,TUN,튀니지
1978,C01,브라질,BRA,브라질
1978,C02,스웨덴,SWE,스웨덴
1978,C03,스페인,ESP,스페인
1978,C04,오스트리아,AUT,오스트리아
1978,D01,네덜란드,NED,네덜란드
1978,D02,페루,PER,페루
1978,D03,스코틀랜드,SCO,스코틀랜드
1978,D04,이란,IRN,이란
1982,A01,이탈리아,ITA,이탈리아
1982,A02,폴란드,POL,폴란드
1982,A03,페루,PER,페루
1982,A04,카메룬,CMR,카메룬
1982,B01,서독,GER,서독
1982,B02,오스트리아,AUT,오스트리아
1982,B03,칠레,CHI,칠레
1982,B04,알제리,ALG,알제리
1982,C01,아르헨티나,ARG,아르헨티나
1982,C02,헝가리,HUN,헝가리
1982,C03,벨기에,BEL,벨기에
1982,C04,엘살바도르,SLV,엘살바도르
1982,D01,잉글랜드,ENG,잉글랜드
1982,D02,체코,CZE,체코슬로바키아
1982,D03,프랑스,FRA,프랑스
1982,D04,쿠웨이트,KUW,쿠웨이트
1982,E01,스페인,ESP,스페인
1982,E02,유고,SRB,유고슬라비아
1982,E03,북아일랜드,NIR,북아일랜드
1982,E04,온두라스,HON,온두라스
1982,F01,브라질,BRA,브라질
1982,F02,소련,USS,소련
1982,F03,스코틀랜드,SCO,스코틀랜드
1982,F04,뉴질랜드,NZL,뉴질랜드
1986,A01,이탈리아,ITA,이탈리아
1986,A02,아르헨티나,ARG,아르헨티나
1986,A03,대한민국,KOR,대한민국
1986,A04,불가리아,BUL,불가리아
1986,B01,멕시코,MEX,멕시코
1986,B02,파라과이,PAR,파라과이
1986,B03,이라크,IRQ,이라크
1986,B04,벨기에,BEL,벨기에
1986,C01,프랑스,FRA,프랑스
1986,C02,소련,USS,소련
1986,C03,캐나다,CAN,캐나다
1986,C04,헝가리,HUN,헝가리
1986,D01,브라질,BRA,브라질
1986,D02,스페인,ESP,스페인
1986,D03,알제리,ALG,알제리
1986,D04,북아일랜드,NIR,북아일랜드
1986,E01,서독,GER,서독
1986,E02,우루과이,URU,우루과이
1986,E03,덴마크,DEN,덴마크
1986,E04,스코틀랜드,SCO,스코틀랜드
1986,F01,폴란드,POL,폴란드
1986,F02,잉글랜드,ENG,잉글랜드
1986,F03,모로코,MAR,모로코
1986,F04,포르투갈,POR,포르투갈
1990,A01,이탈리아,ITA,이탈리아
1990,A02,미국,USA,미국
1990,A03,체코,CZE,체코슬로바키아
1990,A04,오스트리아,AUT,오스트리아
1990,B01,아르헨티나,ARG,아르헨티나
1990,B02,카메룬,CMR,카메룬
1990,B03,루마니아,ROU,루마니아
1990,B04,소련,USS,소련
1990,C01,브라질,BRA,브라질
1990,C02,코스타리카,CRC,코스타리카
1990,C03,스웨덴,SWE,스웨덴
1990,C04,스코틀랜드,SCO,스코틀랜드
1990,D01,서독,GER,서독
1990,D02,아랍에미맅,UAE,아랍에미리트
1990,D03,콜롬비아,COL,콜롬비아
1990,D04,유고,SRB,유고슬라비아
1990,E01,벨기에,BEL,벨기에
1990,E02,대한민국,KOR,대한민국
1990,E03,우루과이,URU,우루과이
1990,E04,스페인,ESP,스페인
1990,F01,잉글랜드,ENG,잉글랜드
1990,F02,이집트,EGY,이집트
1990,F03,아일랜드,IRL,아일랜드
1990,F04,네덜란드,NED,네덜란드
1994,A01,미국,USA,미국
1994,A02,콜롬비아,COL,콜롬비아
1994,A03,루마니아,ROU,루마니아
1994,A04,스위스,SUI,스위스
1994,B01,브라질,BRA,브라질
1994,B02,카메룬,CMR,카메룬
1994,B03,러시아,RUS,러시아
1994,B04,스웨덴,SWE,스웨덴
1994,C01,독일,GER,독일
1994,C02,볼리비아,BOL,볼리비아
1994,C03,스페인,ESP,스페인
1994,C04,대한민국,KOR,대한민국
1994,D01,아르헨티나,ARG,아르헨티나
1994,D02,나이지리아,NGA,나이지리아
1994,D03,불가리아,BUL,불가리아
1994,D04,그리스,GRE,그리스
1994,E01,이탈리아,ITA,이탈리아
1994,E02,멕시코,MEX,멕시코
1994,E03,아일랜드,IRL,아일랜드
1994,E04,노르웨이,NOR,노르웨이
1994,F01,벨기에,BEL,벨기에
1994,F02,모로코,MAR,모로코
1994,F03,네덜란드,NED,네덜란드
1994,F04,사우디,KSA,사우디아라비아
1998,A01,브라질,BRA,브라질
1998,A02,노르웨이,NOR,노르웨이
1998,A03,스코틀랜드,SCO,스코틀랜드
1998,A04,모로코,MAR,모로코
1998,B01,이탈리아,ITA,이탈리아
1998,B02,오스트리아,AUT,오스트리아
1998,B03,칠레,CHI,칠레
1998,B04,카메룬,CMR,카메룬
1998,C01,프랑스,FRA,프랑스
1998,C02,덴마크,DEN,덴마크
1998,C03,사우디,KSA,사우디아라비아
1998,C04,남아공화국,RSA,남아프리카공화국
1998,D01,스페인,ESP,스페인
1998,D02,불가리아,BUL,불가리아
1998,D03,파라과이,PAR,파라과이
1998,D04,나이지리아,NGA,나이지리아
1998,E01,네덜란드,NED,네덜란드
1998,E02,벨기에,BEL,벨기에
1998,E03,대한민국,KOR,대한민국
1998,E04,멕시코,MEX,멕시코
1998,F01,독일,GER,독일
1998,F02,유고,SRB,유고슬라비아
1998,F03,이란,IRN,이란
1998,F04,미국,USA,미국
1998,G01,루마니아,ROU,루마니아
1998,G02,잉글랜드,ENG,잉글랜드
1998,G03,콜롬비아,COL,콜롬비아
1998,G04,튀니지,TUN,튀니지
1998,H01,아르헨티나,ARG,아르헨티나
1998,H02,크로아티아,CRO,크로아티아
1998,H03,일본,JPN,일본
1998,H04,자메이카,JAM,자메이카
2002,A01,프랑스,FRA,프랑스
2002,A02,덴마크,DEN,덴마크
2002,A03,우루과이,URU,우루과이
2002,A04,세네갈,SEN,세네갈
2002,B01,스페인,ESP,스페인
2002,B02,슬로베니아,SVN,슬로베니아
2002,B03,파라과이,PAR,파라과이
2002,B04,남아공화국,RSA,남아프리카공화국
2002,C01,브라질,BRA,브라질
2002,C02,튀르키예,TUR,튀르키예
2002,C03,중국,CHN,중화인민공화국
2002,C04,코스타리카,CRC,코스타리카
2002,D01,대한민국,KOR,대한민국
2002,D02,포르투갈,POR,포르투갈
2002,D03,폴란드,POL,폴란드
2002,D04,미국,USA,미국
2002,E01,독일,GER,독일
2002,E02,아일랜드,IRL,아일랜드
2002,E03,사우디,KSA,사우디아라비아
2002,E04,카메룬,CMR,카메룬
2002,F01,아르헨티나,ARG,아르헨티나
2002,F02,스웨덴,SWE,스웨덴
2002,F03,잉글랜드,ENG,잉글랜드
2002,F04,나이지리아,NGA,나이지리아
2002,G01,이탈리아,ITA,이탈리아
2002,G02,크로아티아,CRO,크로아티아
2002,G03,에콰도르,ECU,에콰도르
2002,G04,멕시코,MEX,멕시코
2002,H01,일본,JPN,일본
2002,H02,러시아,RUS,러시아
2002,H03,벨기에,BEL,벨기에
2002,H04,튀니지,TUN,튀니지
2006,A01,독일,GER,독일
2006,A02,에콰도르,ECU,에콰도르
2006,A03,폴란드,POL,폴란드
2006,A04,코스타리카,CRC,코스타리카
2006,B01,잉글랜드,ENG,잉글랜드
2006,B02,파라과이,PAR,파라과이
2006,B03,스웨덴,SWE,스웨덴
2006,B04,토바고,TRI,트리니다드토바고
2006,C01,아르헨티나,ARG,아르헨티나
2006,C02,코트디봐르,CIV,코트디부아르
2006,C03,네덜란드,NED,네덜란드
2006,C04,세르비아,SRB,세르비아몬테네그로
2006,D01,멕시코,MEX,멕시코
2006,D02,앙골라,ANG,앙골라
2006,D03,포르투갈,POR,포르투갈
2006,D04,이란,IRN,이란
2006,E01,이탈리아,ITA,이탈리아
2006,E02,가나,GHA,가나
2006,E03,체코,CZE,체코
2006,E04,미국,USA,미국
2006,F01,브라질,BRA,브라질
2006,F02,호주,AUS,오스트레일리아
2006,F03,크로아티아,CRO,크로아티아
2006,F04,일본,JPN,일본
2006,G01,프랑스,FRA,프랑스
2006,G02,토고,TOG,토고
2006,G03,스위스,SUI,스위스
2006,G04,대한민국,KOR,대한민국
2006,H01,스페인,ESP,스페인
2006,H02,튀니지,TUN,튀니지
2006,H03,우크라이나,UKR,우크라이나
2006,H04,사우디,KSA,사우디아라비아
2010,A01,남아공화국,RSA,남아프리카공화국
2010,A02,멕시코,MEX,멕시코
2010,A03,우루과이,URU,우루과이
2010,A04,프랑스,FRA,프랑스
2010,B01,아르헨티나,ARG,아르헨티나
2010,B02,대한민국,KOR,대한민국
2010,B03,나이지리아,NGA,나이지리아
2010,B04,그리스,GRE,그리스
2010,C01,잉글랜드,ENG,잉글랜드
2010,C02,미국,USA,미국
2010,C03,알제리,ALG,알제리
2010,C04,슬로베니아,SVN,슬로베니아
2010,D01,독일,GER,독일
2010,D02,호주,AUS,오스트레일리아
2010,D03,가나,GHA,가나
2010,D04,세르비아,SRB,세르비아
2010,E01,네덜란드,NED,네덜란드
2010,E02,일본,JPN,일본
2010,E03,카메룬,CMR,카메룬
2010,E04,덴마크,DEN,덴마크
2010,F01,이탈리아,ITA,이탈리아
2010,F02,뉴질랜드,NZL,뉴질랜드
2010,F03,파라과이,PAR,파라과이
2010,F04,슬로바키아,SVK,슬로바키아
2010,G01,브라질,BRA,브라질
2010,G02,북한,PRK,북한
2010,G03,코트디봐르,CIV,코트디부아르
2010,G04,포르투갈,POR,포르투갈
2010,H01,스페인,ESP,스페인
2010,H02,온두라스,HON,온두라스
2010,H03,칠레,CHI,칠레
2010,H04,스위스,SUI,스위스
2014,A01,브라질,BRA,브라질
2014,A02,카메룬,CMR,카메룬
2014,A03,멕시코,MEX,멕시코
2014,A04,크로아티아,CRO,크로아티아
2014,B01,스페인,ESP,스페인
2014,B02,칠레,CHI,칠레
2014,B03,호주,AUS,오스트레일리아
2014,B04,네덜란드,NED,네덜란드
2014,C01,콜롬비아,COL,콜롬비아
2014,C02,코트디봐르,CIV,코트디부아르
2014,C03,일본,JPN,일본
2014,C04,그리스,GRE,그리스
2014,D01,우루과이,URU,우루과이
2014,D02,이탈리아,ITA,이탈리아
2014,D03,코스타리카,CRC,코스타리카
2014,D04,잉글랜드,ENG,잉글랜드
2014,E01,스위스,SUI,스위스
2014,E02,에콰도르,ECU,에콰도르
2014,E03,온두라스,HON,온두라스
2014,E04,프랑스,FRA,프랑스
2014,F01,아르헨티나,ARG,아르헨티나
2014,F02,나이지리아,NGA,나이지리아
2014,F03,이란,IRN,이란
2014,F04,보스니아,BIH,보스니아헤르체고비나
2014,G01,독일,GER,독일
2014,G02,가나,GHA,가나
2014,G03,미국,USA,미국
2014,G04,포르투갈,POR,포르투갈
2014,H01,벨기에,BEL,벨기에
2014,H02,알제리,ALG,알제리
2014,H03,대한민국,KOR,대한민국
2014,H04,러시아,RUS,러시아
2018,A01,러시아,RUS,러시아
2018,A02,우루과이,URU,우루과이
2018,A03,이집트,EGY,이집트
2018,A04,사우디,KSA,사우디아라비아
2018,B01,포르투갈,POR,포르투갈
2018,B02,스페인,ESP,스페인
2018,B03,이란,IRN,이란
2018,B04,모로코,MAR,모로코
2018,C01,프랑스,FRA,프랑스
2018,C02,페루,PER,페루
2018,C03,덴마크,DEN,덴마크
2018,C04,호주,AUS,오스트레일리아
2018,D01,아르헨티나,ARG,아르헨티나
2018,D02,크로아티아,CRO,크로아티아
2018,D03,아이슬란드,ISL,아이슬란드
2018,D04,나이지리아,NGA,나이지리아
2018,E01,브라질,BRA,브라질
2018,E02,스위스,SUI,스위스
2018,E03,코스타리카,CRC,코스타리카
2018,E04,세르비아,SRB,세르비아
2018,F01,독일,GER,독일
2018,F02,멕시코,MEX,멕시코
2018,F03,스웨덴,SWE,스웨덴
2018,F04,대한민국,KOR,대한민국
2018,G01,벨기에,BEL,벨기에
2018,G02,잉글랜드,ENG,잉글랜드
2018,G03,튀니지,TUN,튀니지
2018,G04,파나마,PAN,파나마
2018,H01,폴란드,POL,폴란드
2018,H02,콜롬비아,COL,콜롬비아
2018,H03,세네갈,SEN,세네갈
2018,H04,일본,JPN,일본
2022,A01,카타르,QAT,카타르
2022,A02,네덜란드,NED,네덜란드
2022,A03,세네갈,SEN,세네갈
2022,A04,에콰도르,ECU,에콰도르
2022,B01,잉글랜드,ENG,잉글랜드
2022,B02,미국,USA,미국
2022,B03,이란,IRN,이란
2022,B04,웨일스,WAL,웨일스
2022,C01,아르헨티나,ARG,아르헨티나
2022,C02,멕시코,MEX,멕시코
2022,C03,폴란드,POL,폴란드
2022,C04,사우디,KSA,사우디아라비아
2022,D01,프랑스,FRA,프랑스
2022,D02,덴마크,DEN,덴마크
2022,D03,튀니지,TUN,튀니지
2022,D04,호주,AUS,오스트레일리아
2022,E01,스페인,ESP,스페인
2022,E02,독일,GER,독일
2022,E03,일본,JPN,일본
2022,E04,코스타리카,CRC,코스타리카
2022,F01,벨기에,BEL,벨기에
2022,F02,크로아티아,CRO,크로아티아
2022,F03,모로코,MAR,모로코
2022,F04,캐나다,CAN,캐나다
2022,G01,브라질,BRA,브라질
2022,G02,스위스,SUI,스위스
2022,G03,세르비아,SRB,세르비아
2022,G04,카메룬,CMR,카메룬
2022,H01,포르투갈,POR,포르투갈
2022,H02,우루과이,URU,우루과이
2022,H03,대한민국,KOR,대한민국
2022,H04,가나,GHA,가나
